entry_id,asset_id,source_field
entry_622300eb0548df926266,asset_f667445a64dd8f98cc6b,DVIDS Video ID
entry_6335bcee3b617441a8ea,asset_2b98fd7cde9b31bc38aa,PDF | Image Link
entry_641a9cabe102ca51b58a,asset_0e40c556fc072f293949,PDF | Image Link
entry_643b514d91955be6b924,asset_d7538e35ff11c7d33f49,PDF | Image Link
entry_6575b01a6ffc64b1a8e8,asset_8156067f7ff4b98373ac,PDF | Image Link
entry_66872a1dc8877b5ebdf0,asset_16fcb501de623b9c39e8,PDF | Image Link
entry_66aad266cfd6ac0de1a8,asset_7838ea3bee6bd8a78acb,PDF | Image Link
entry_67ffd72fa1266e694c1b,asset_7bc9eea330e5677918f3,DVIDS Video ID
entry_6a0db17aa0f5b6f1be92,asset_573509d830f7acd8c050,DVIDS Video ID
entry_6ac340c387ddd1a41e9d,asset_b6fba2e0cdec0f09a339,DVIDS Video ID
entry_6b21c991cbc059481cfe,asset_1701a0f3077149210fb7,PDF | Image Link
entry_6b5489426f648dd17074,asset_f113d1c72339c22c8488,DVIDS Video ID
entry_6b9bd37f1f553731dd1d,asset_7490415b61026fa315d4,DVIDS Video ID
entry_6ba015e7d53a2d1e241e,asset_3ff42842ffa4456c7b4c,DVIDS Video ID
entry_6be1a0322cc6e8c57ae0,asset_26b02d358ec20061bdf8,PDF | Image Link
entry_6d0105d0e5e08b046043,asset_cbe3037af8974c9518b0,DVIDS Video ID
entry_6d0f11ca67329c23489d,asset_2fecc4f3b434e64d0d46,PDF | Image Link
entry_6d7caa1aa3a2eba8681f,asset_878ff82834953ea7852a,PDF | Image Link
entry_6e39fe6f64493a4ef09b,asset_76e85fd5c91c892e28e0,DVIDS Video ID
entry_6e3da72dff1ca434eca4,asset_a33faf4c40674462e28d,PDF | Image Link
entry_6e5fe26829e58bc3e298,asset_863aca11a6583675c34c,DVIDS Video ID
entry_6f4e5907aa60ee51d67b,asset_2fd3cd901c2fc8ddfb4c,DVIDS Video ID
entry_71a29e7f0829e912cbf6,asset_bcf2e688dfbc220debbf,PDF | Image Link
entry_72397cb9bde94cdbfaec,asset_4825c416e6afe55743fe,PDF | Image Link
entry_728df492b9d8afe12074,asset_78dc972c0c143d1ecf7a,PDF | Image Link
entry_731c16f60d5be7cc25e7,asset_af047a976bac0c89d0a4,PDF | Image Link
entry_738bb787bdf0381c5ae9,asset_c788c17e8cc322303867,PDF | Image Link
entry_738bb787bdf0381c5ae9,asset_f779c13eb6ad055001a3,DVIDS Video ID
entry_74a23c336609c9ecf5e7,asset_8533936c8107767b9770,PDF | Image Link
entry_74cdedb29ce1f851c84c,asset_a3f68d208681dc64c875,PDF | Image Link
entry_76ab822ea51a90b1d34a,asset_859cda8991e45dd75189,PDF | Image Link
entry_7836d84aa89ce5e97c8d,asset_aa89809b9e293f38a563,DVIDS Video ID
entry_7863ab1746bf02ddb63b,asset_fa24eb58219a8dff42b0,PDF | Image Link
